shop,shop_url,website,category,est_annual_sales_k,years_active,ratio_per_year
DeltaLoom,https://www.etsy.com/shop/DeltaLoom,,lamp,1.8,1.5,1200
ModCre8tor,https://www.etsy.com/shop/ModCre8tor,,lamp,1.7,1.0,1700
3DecoStudio,https://www.etsy.com/shop/3DecoStudio,,lamp,7.0,4.0,1750
Araito,https://www.etsy.com/shop/Araito,,lamp,0.7,2.0,350
Olee3DArt,https://www.etsy.com/shop/Olee3DArt,,lamp,9.7,2.5,3880
SoliWorkshop,https://www.etsy.com/shop/SoliWorkshop,,lamp,4.5,3.0,1500
XeonCrafts,https://www.etsy.com/shop/XeonCrafts,,lamp & household,11.4,3.0,3800
LitArtifactz,https://www.etsy.com/shop/LitArtifactz,,lamp,4.0,2.0,2000
RacconPrint,https://www.etsy.com/shop/RacconPrint,,board games,1.8,3.0,600
StoreAllTheBits,https://www.etsy.com/shop/StoreAllTheBits,,board games,1.5,2.0,750
BoardgamePrintshop,https://www.etsy.com/shop/BoardgamePrintshop,,board games,2.3,2.5,920
BoardGeekFox,https://www.etsy.com/shop/BoardGeekFox,,board games,10.3,3.0,3433
PRINTserts,https://www.etsy.com/shop/PRINTserts,,board games,9.1,6.0,1517
Prinsert,https://www.etsy.com/shop/Prinsert,,board games,0.8,0.8,1000
PrintablesByCaren,https://www.etsy.com/shop/PrintablesByCaren,,board games,12.4,6.0,2067
BoardGameHolic,https://www.etsy.com/shop/BoardGameHolic,,board games,2.0,4.0,500
TaylorJaneDesignCo,https://www.etsy.com/shop/TaylorJaneDesignCo,,board games,2.6,3.0,867
MouseDenGames,https://www.etsy.com/shop/MouseDenGames,,board games,26.7,5.0,5340
LevityGames,https://www.etsy.com/shop/LevityGames,levity.games,board games,30.5,3.0,10167
ForgeMachine,https://www.etsy.com/shop/ForgeMachine,,board games,2.0,3.0,667
BoardGameBoss,https://www.etsy.com/shop/BoardGameBoss,,board games,5.6,7.0,800
BoardGameUp,https://www.etsy.com/shop/BoardGameUp,,board games,2.7,2.0,1350
GameMaker3D,https://www.etsy.com/shop/GameMaker3D,gamemaker.eu,board games,18.4,4.0,4600
BGExpansions,https://www.etsy.com/shop/BGExpansions,,board games,32.2,6.0,5367
PimpmyboardgameDE,https://www.etsy.com/shop/PimpmyboardgameDE,,board games,7.6,3.0,2533
3dBitSpace,https://www.etsy.com/shop/3dBitSpace,,board games,2.9,6.0,483
BeyondTheBoardEU,https://www.etsy.com/shop/BeyondTheBoardEU,,board games,6.6,4.0,1650
Buzz3DPrint,https://www.etsy.com/shop/Buzz3DPrint,,board games,2.7,1.0,2700
MeltedMeeple,https://www.etsy.com/shop/MeltedMeeple,,board games,1.1,3.0,367
ChihuahuaPrint3D,https://www.etsy.com/shop/ChihuahuaPrint3D,,board games,3.3,1.5,2200
EvilMachine,https://www.etsy.com/shop/EvilMachine,,board games,11.4,4.0,2850
TabletopTerrain3D,https://www.etsy.com/shop/TabletopTerrain3D,,board games,9.9,5.0,1980
TinkerStudio3D,https://www.etsy.com/shop/TinkerStudio3D,,board games,5.5,1.0,5500
TPRINTR,https://www.etsy.com/shop/TPRINTR,,board games,2.7,2.5,1080
BKPrint3D,https://www.etsy.com/shop/BKPrint3D,,board games,24.5,5.0,4900
KnyteTechnologies,https://www.etsy.com/shop/KnyteTechnologies,,board games,2.0,12.0,167
FeldherrGermany,https://www.etsy.com/shop/FeldherrGermany,,board games,6.0,5.0,1200
TopoCoArt,https://www.etsy.com/shop/TopoCoArt,,board games,6.5,2.5,2600
LuckyPlayer,https://www.etsy.com/shop/LuckyPlayer,,board games,27.5,6.0,4583
Casiopea3D,https://www.etsy.com/shop/Casiopea3D,,board games,4.4,7.0,629
Levytek,https://www.etsy.com/shop/Levytek,,board games,3.6,3.0,1200
DorkyDesignsDigital,https://www.etsy.com/shop/DorkyDesignsDigital,,board games,1.7,2.0,850
R2D3Productions,https://www.etsy.com/shop/R2D3Productions,r2d3productions.com,"nintendo, switch, game holders, organizers",4.2,2.5,1680
ZJH3D,https://www.etsy.com/shop/ZJH3D,,"nintendo, switch, game holders, organizers",1.9,2.5,760
Emily3DPrint,https://www.etsy.com/shop/Emily3DPrint,,"nintendo, switch, game holders, organizers",2.7,2.5,1080
3DPrintsByTrey,https://www.etsy.com/shop/3DPrintsByTrey,3dprintsbytrey.com,"nintendo, switch, game holders, organizers",12.1,5.0,2420
3DPropDen,https://www.etsy.com/shop/3DPropDen,3dprintden.ca,"nintendo, switch, game holders, organizers",1.7,2.5,680
TheBearandWolfStudio,https://www.etsy.com/shop/TheBearandWolfStudio,,"nintendo, switch, game holders, organizers",44.2,12.0,3683
MS3DDruck24,https://www.etsy.com/shop/MS3DDruck24,,"nintendo, switch, game holders, organizers",2.2,1.0,2200
wookieeprint,https://www.etsy.com/shop/wookieeprint,,"nintendo, switch, game holders, organizers",6.5,5.0,1300
DVAMakerStudios,https://www.etsy.com/shop/DVAMakerStudios,,"nintendo, switch, game holders, organizers",6.7,7.0,957
MisfitToysStore,https://www.etsy.com/shop/MisfitToysStore,,"nintendo, switch, game holders, organizers",39.2,10.0,3920
MFHDruck,https://www.etsy.com/shop/MFHDruck,,various,3.3,3.0,1100
LP3Dforge,https://www.etsy.com/shop/LP3Dforge,,"nintendo, switch, game holders, organizers",1.6,2.0,800
Lifeis3DShop,https://www.etsy.com/shop/Lifeis3DShop,,"nintendo, switch, game holders, organizers",3.2,7.0,457
MurrayAndSons3D,https://www.etsy.com/shop/MurrayAndSons3D,,"nintendo, switch, game holders, organizers",1.6,4.0,400
kingscreationsusa,https://www.etsy.com/shop/kingscreationsusa,,various,16.2,5.0,3240
FunksCollectibles,https://www.etsy.com/shop/FunksCollectibles,,various,1.6,3.0,533
MysticMesh3D,https://www.etsy.com/shop/MysticMesh3D,,"nintendo, switch, game holders, organizers",7.7,5.0,1540
SesameSeedPrints,https://www.etsy.com/shop/SesameSeedPrints,,various,0.8,1.5,533
ThePrintingHall,https://www.etsy.com/shop/ThePrintingHall,,displays and holders,4.3,4.0,1075
Dancyn3DPrints,https://www.etsy.com/shop/Dancyn3DPrints,,various,9.0,6.0,1500
CelticForge3D,https://www.etsy.com/shop/CelticForge3D,,"nintendo, switch, game holders, organizers",6.9,7.0,986
luusprints,https://www.etsy.com/shop/luusprints,,"nintendo, switch, game holders, organizers",1.3,4.0,325
ThreeDePrinting,https://www.etsy.com/shop/ThreeDePrinting,,"nintendo, switch, game holders, organizers",1.6,3.0,533
TrophyBit,https://www.etsy.com/shop/TrophyBit,,"nintendo, switch, game holders, organizers",7.1,9.0,789
3Dreativity,https://www.etsy.com/shop/3Dreativity,,"nintendo, switch, game holders, organizers",1.7,1.5,1133
zombyte,https://www.etsy.com/shop/zombyte,,"nintendo, switch, game holders, organizers",4.6,7.0,657
PauseButtonPrintShop,https://www.etsy.com/shop/PauseButtonPrintShop,,controller stands,4.3,5.0,860
3DBitsNBobsCo,https://www.etsy.com/shop/3DBitsNBobsCo,,"nintendo, switch, game holders, organizers",0.9,2.0,450
Zoltan3Design,https://www.etsy.com/shop/Zoltan3Design,,"nintendo, switch, game holders, organizers",2.0,3.0,667
LostTravelerLee3D,https://www.etsy.com/shop/LostTravelerLee3D,,"nintendo, switch, game holders, organizers",9.1,4.0,2275
Maverick3D,https://www.etsy.com/shop/Maverick3D,,key holders,2.2,4.0,550
QuantumQuill3D,https://www.etsy.com/shop/QuantumQuill3D,,"nintendo, switch, game holders, organizers",1.6,1.0,1600
LA3DPrintShop,https://www.etsy.com/shop/LA3DPrintShop,,"nintendo, switch, game holders, organizers",1.8,3.0,600
3DPrintedKeycap,https://www.etsy.com/shop/3DPrintedKeycap,,"various, stls too",7.2,2.5,2880
PersonalLoot,https://www.etsy.com/shop/PersonalLoot,,holders,2.1,4.0,525
3DPrintHaus,https://www.etsy.com/shop/3DPrintHaus,,"nintendo, switch, game holders, organizers",1.1,4.0,275
Krasivoe,https://www.etsy.com/shop/Krasivoe,,"nintendo, switch, game holders, organizers",0.7,1.0,700
KYPEX,https://www.etsy.com/shop/KYPEX,,"nintendo, switch, game holders, organizers",1.2,4.0,300
